case_id,output_type,status,reason,shape,signed_min,signed_max,abs_max,signed_mean,positive_sum,negative_sum,peak_index
CASE_T2B_006,ATAC,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T2B_006,CONTACT_MAPS,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T2B_006,CAGE,success,,1048576x18,-512.0,256.0,512.0,-7.768248783586297e-05,4381.3874922979885,-5847.59535486759,1039407|6
CASE_T2B_006,DNASE,success,,1048576x8,-0.75,0.75,0.75,5.7868265137317435e-06,948.2367613459267,-899.6933421582244,841282|6
CASE_T2B_006,RNA_SEQ,success,,1048576x27,-10.0,8.0,10.0,-8.406002562792694e-05,4577.485629741891,-6957.355416428279,1041677|26
CASE_T2B_006,SPLICE_SITE_USAGE,success,,1048576x26,-0.009765625,0.0078125,0.009765625,2.588974252380708e-08,2.7843767763167135,-2.0785453472439817,999006|0
CASE_T2B_006,SPLICE_JUNCTIONS,success,,13232x13,-0.04573965072631836,0.08594512939453125,0.08594512939453125,2.4791252650471647e-05,19.867239055412938,-15.602746939489407,10588|8
CASE_T2B_006,CHIP_HISTONE,success,,8192x12,-192.0,384.0,384.0,-0.0020999709765116372,10791.251953125,-10997.6875,7620|11
CASE_T2B_006,CHIP_TF,success,,8192x10,-48.0,64.0,64.0,0.00404825210571289,5463.0390625,-5131.40625,4244|9
CASE_T2B_006,SPLICE_SITES,success,,1048576x4,-0.0263671875,0.0078125,0.0263671875,-2.5540026701159624e-08,1.4338211868125654,-1.540943822965346,524270|2
CASE_T2B_006,PROCAP,success,,1048576x2,-16.0,8.0,16.0,-1.1644324626886027e-06,359.70715137649677,-362.1491432444891,1039407|0
