case_id,output_type,status,reason,shape,signed_min,signed_max,abs_max,signed_mean,positive_sum,negative_sum,peak_index
CASE_T2B_004,ATAC,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T2B_004,CONTACT_MAPS,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T2B_004,CAGE,success,,1048576x18,-320.0,512.0,512.0,0.00018191326443100253,8190.951397432604,-4757.453500480551,1039308|4
CASE_T2B_004,DNASE,success,,1048576x8,-1.0,0.625,1.0,1.4645450052255287e-06,946.3430728190322,-934.0575788718372,998763|7
CASE_T2B_004,RNA_SEQ,success,,1048576x27,-10.0,10.0,10.0,9.665355365002312e-05,8053.259501250917,-5316.847391103496,1041570|26
CASE_T2B_004,SPLICE_SITE_USAGE,success,,1048576x26,-0.0078125,0.0078125,0.0078125,-1.5993898208232672e-08,2.055515440999246,-2.4915567039967366,80625|15
CASE_T2B_004,SPLICE_JUNCTIONS,success,,12606x13,-0.052193641662597656,0.053307533264160156,0.053307533264160156,-6.327135477075822e-05,15.820320055936463,-26.18910313305878,2177|12
CASE_T2B_004,CHIP_HISTONE,success,,8192x12,-512.0,384.0,512.0,0.01968570550282796,12498.03515625,-10562.8515625,6615|11
CASE_T2B_004,CHIP_TF,success,,8192x10,-48.0,64.0,64.0,0.013064047694206238,5807.6689453125,-4737.462158203125,4258|1
CASE_T2B_004,SPLICE_SITES,success,,1048576x4,-0.01171875,0.009765625,0.01171875,-6.20943006041097e-09,1.5686294580318645,-1.5946736953719665,1041580|1
CASE_T2B_004,PROCAP,success,,1048576x2,-32.0,16.0,32.0,2.213541683074305e-07,364.8775074862351,-364.41329414946085,1039311|0
